id,text,category,priority
55,"I am unable to access Teams on my tablet, it shows error 0xC004F012.",Network Problem,high
56,Active Directory fails to load on my laptop showing ERR-9999.,Network Problem,high
57,My printer stopped working when I tried to use Zoom. Error displayed: AUTH-007.,Service Request,medium
58,VPN keeps crashing on my printer. Code ERR42.,Account/Access Issue,high
59,I can't log into Outlook from my printer. It returns ERR42.,Software Bug,high
60,"I am unable to access Outlook on my mobile, it shows error ERR-9999.",Network Problem,critical
61,"I am unable to access Zoom on my router, it shows error AUTH-007.",Network Problem,medium
62,I can't log into Database from my laptop. It returns ERR-9999.,Other,critical
63,My tablet stopped working when I tried to use Teams. Error displayed: 0xC004F012.,Security,high
64,Salesforce fails to load on my mobile showing FAIL-101.,Account/Access Issue,high
65,Teams keeps crashing on my server. Code AUTH-007.,Account/Access Issue,medium
66,There is a problem with Email on the mobile. Error: 0xC004F012.,Hardware Issue,high
67,I can't log into Outlook from my laptop. It returns ERR-9999.,Other,high
68,There is a problem with Zoom on the mobile. Error: NET-503.,Service Request,critical
69,"I am unable to access WiFi on my mobile, it shows error FAIL-101.",Other,high
70,VPN fails to load on my printer showing FAIL-101.,Hardware Issue,high
71,There is a problem with Salesforce on the printer. Error: AUTH-007.,Security,medium
72,There is a problem with Teams on the tablet. Error: NET-503.,Software Bug,critical
73,Email keeps crashing on my tablet. Code 0xC004F012.,Security,high
74,My tablet stopped working when I tried to use VPN. Error displayed: TIMEOUT-22.,Service Request,critical
75,Database fails to load on my desktop showing AUTH-007.,Other,medium
76,VPN keeps crashing on my printer. Code ERR42.,Network Problem,medium
77,There is a problem with Outlook on the mobile. Error: NET-503.,Service Request,critical
78,There is a problem with Zoom on the router. Error: FAIL-101.,Network Problem,high
79,I can't log into Salesforce from my router. It returns 0xC004F012.,Service Request,high
80,"I am unable to access Database on my desktop, it shows error NET-503.",Hardware Issue,critical
81,There is a problem with Active Directory on the laptop. Error: FAIL-101.,Account/Access Issue,high
82,Outlook keeps crashing on my router. Code AUTH-007.,Hardware Issue,medium
83,My tablet stopped working when I tried to use Teams. Error displayed: ERR42.,Network Problem,low
84,"I am unable to access Zoom on my server, it shows error TIMEOUT-22.",Software Bug,critical
85,I can't log into WiFi from my router. It returns 0x80070005.,Software Bug,high
86,"I am unable to access Email on my desktop, it shows error TIMEOUT-22.",Account/Access Issue,critical
87,There is a problem with CRM Portal on the tablet. Error: ERR-9999.,Security,critical
88,I can't log into VPN from my server. It returns FAIL-101.,Security,high
89,Salesforce fails to load on my desktop showing 0x80070005.,Hardware Issue,high
90,CRM Portal fails to load on my desktop showing NET-503.,Other,critical
91,There is a problem with Salesforce on the router. Error: 0x80070005.,Software Bug,high
92,I can't log into Active Directory from my desktop. It returns NET-503.,Security,critical
93,"I am unable to access Email on my laptop, it shows error TIMEOUT-22.",Security,critical
94,Zoom keeps crashing on my server. Code TIMEOUT-22.,Account/Access Issue,critical
95,I can't log into Salesforce from my router. It returns TIMEOUT-22.,Software Bug,critical
96,WiFi fails to load on my router showing TIMEOUT-22.,Software Bug,critical
97,"I am unable to access Zoom on my desktop, it shows error ERR-9999.",Hardware Issue,low
98,My tablet stopped working when I tried to use Database. Error displayed: 0x80070005.,Other,high
99,My laptop stopped working when I tried to use Email. Error displayed: 0x80070005.,Hardware Issue,high
100,CRM Portal keeps crashing on my printer. Code ERR42.,Hardware Issue,critical
101,"I am unable to access WiFi on my mobile, it shows error ERR-9999.",Other,medium
102,I can't log into Salesforce from my desktop. It returns 0x80070005.,Service Request,high
103,My mobile stopped working when I tried to use CRM Portal. Error displayed: ERR42.,Other,critical
104,"I am unable to access Salesforce on my server, it shows error ERR-9999.",Network Problem,low
105,There is a problem with Active Directory on the printer. Error: ERR-9999.,Network Problem,high
106,Outlook fails to load on my printer showing FAIL-101.,Service Request,high
107,I can't log into Email from my router. It returns AUTH-007.,Network Problem,medium
108,There is a problem with Teams on the printer. Error: NET-503.,Account/Access Issue,critical
109,CRM Portal keeps crashing on my router. Code 0xC004F012.,Network Problem,high
110,Zoom fails to load on my desktop showing FAIL-101.,Account/Access Issue,high
111,My desktop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Network Problem,medium
112,I can't log into Database from my router. It returns FAIL-101.,Service Request,high
113,I can't log into Database from my router. It returns 0xC004F012.,Software Bug,high
114,My router stopped working when I tried to use Teams. Error displayed: AUTH-007.,Hardware Issue,medium
115,I can't log into Zoom from my server. It returns 0x80070005.,Account/Access Issue,high
116,Teams keeps crashing on my desktop. Code ERR42.,Other,critical
117,Teams keeps crashing on my laptop. Code ERR-9999.,Account/Access Issue,medium
118,Teams keeps crashing on my tablet. Code ERR-9999.,Hardware Issue,low
119,VPN fails to load on my desktop showing NET-503.,Software Bug,critical
120,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Network Problem,high
121,My desktop stopped working when I tried to use VPN. Error displayed: 0x80070005.,Security,high
122,There is a problem with Email on the server. Error: NET-503.,Network Problem,critical
123,"I am unable to access Salesforce on my mobile, it shows error AUTH-007.",Security,medium
124,My router stopped working when I tried to use Teams. Error displayed: TIMEOUT-22.,Security,critical
125,Teams keeps crashing on my router. Code 0xC004F012.,Hardware Issue,high
126,My laptop stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Service Request,high
127,"I am unable to access WiFi on my printer, it shows error AUTH-007.",Service Request,medium
128,Outlook keeps crashing on my mobile. Code TIMEOUT-22.,Account/Access Issue,critical
129,I can't log into Salesforce from my printer. It returns TIMEOUT-22.,Software Bug,critical
130,I can't log into Email from my printer. It returns 0x80070005.,Security,high
131,There is a problem with Outlook on the desktop. Error: 0x80070005.,Account/Access Issue,high
132,Outlook fails to load on my router showing 0xC004F012.,Security,high
133,WiFi keeps crashing on my server. Code NET-503.,Security,critical
134,My desktop stopped working when I tried to use Outlook. Error displayed: ERR-9999.,Service Request,medium
135,"I am unable to access Active Directory on my tablet, it shows error NET-503.",Service Request,critical
136,There is a problem with Email on the server. Error: NET-503.,Software Bug,critical
137,WiFi fails to load on my printer showing FAIL-101.,Service Request,high
138,I can't log into Teams from my desktop. It returns AUTH-007.,Hardware Issue,medium
139,"I am unable to access VPN on my laptop, it shows error 0x80070005.",Hardware Issue,high
140,"I am unable to access Email on my tablet, it shows error ERR42.",Service Request,critical
141,My desktop stopped working when I tried to use Email. Error displayed: 0x80070005.,Security,high
142,I can't log into Outlook from my printer. It returns 0x80070005.,Hardware Issue,high
143,Outlook fails to load on my mobile showing NET-503.,Security,critical
144,I can't log into Database from my laptop. It returns 0xC004F012.,Software Bug,high
145,My printer stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Software Bug,critical
146,I can't log into Salesforce from my desktop. It returns 0x80070005.,Hardware Issue,high
147,Teams keeps crashing on my printer. Code FAIL-101.,Software Bug,high
148,Teams keeps crashing on my desktop. Code 0xC004F012.,Account/Access Issue,high
149,My mobile stopped working when I tried to use Email. Error displayed: ERR42.,Security,critical
150,There is a problem with Teams on the tablet. Error: 0x80070005.,Service Request,high
151,My router stopped working when I tried to use CRM Portal. Error displayed: AUTH-007.,Account/Access Issue,medium
152,There is a problem with Outlook on the laptop. Error: TIMEOUT-22.,Hardware Issue,critical
153,CRM Portal keeps crashing on my server. Code TIMEOUT-22.,Security,critical
154,There is a problem with Outlook on the desktop. Error: 0x80070005.,Service Request,high
155,"I am unable to access Active Directory on my desktop, it shows error AUTH-007.",Account/Access Issue,medium
156,CRM Portal keeps crashing on my printer. Code ERR42.,Account/Access Issue,high
157,Email fails to load on my desktop showing ERR-9999.,Security,low
158,There is a problem with Database on the printer. Error: TIMEOUT-22.,Account/Access Issue,critical
159,"I am unable to access Outlook on my router, it shows error ERR-9999.",Network Problem,high
160,I can't log into Database from my tablet. It returns TIMEOUT-22.,Software Bug,critical
161,Database keeps crashing on my printer. Code 0x80070005.,Hardware Issue,high
162,"I am unable to access WiFi on my router, it shows error TIMEOUT-22.",Hardware Issue,critical
163,My mobile stopped working when I tried to use Outlook. Error displayed: ERR42.,Software Bug,medium
164,There is a problem with Teams on the server. Error: AUTH-007.,Security,medium
165,My desktop stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Other,high
166,"I am unable to access CRM Portal on my tablet, it shows error ERR42.",Other,critical
167,I can't log into Outlook from my server. It returns AUTH-007.,Account/Access Issue,medium
168,I can't log into Teams from my router. It returns 0xC004F012.,Security,high
169,There is a problem with Salesforce on the desktop. Error: ERR42.,Security,medium
170,I can't log into Active Directory from my printer. It returns TIMEOUT-22.,Network Problem,critical
171,There is a problem with Database on the desktop. Error: 0xC004F012.,Account/Access Issue,high
172,There is a problem with Active Directory on the tablet. Error: FAIL-101.,Service Request,high
173,My mobile stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Account/Access Issue,high
174,I can't log into Email from my tablet. It returns FAIL-101.,Network Problem,high
175,There is a problem with Outlook on the laptop. Error: TIMEOUT-22.,Service Request,critical
176,There is a problem with Zoom on the printer. Error: 0x80070005.,Account/Access Issue,high
177,I can't log into Teams from my router. It returns ERR42.,Hardware Issue,low
178,WiFi keeps crashing on my desktop. Code TIMEOUT-22.,Account/Access Issue,critical
179,There is a problem with Active Directory on the printer. Error: NET-503.,Network Problem,critical
180,VPN fails to load on my mobile showing 0xC004F012.,Security,high
181,"I am unable to access Database on my tablet, it shows error 0x80070005.",Network Problem,high
182,"I am unable to access WiFi on my router, it shows error AUTH-007.",Hardware Issue,medium
183,I can't log into VPN from my tablet. It returns AUTH-007.,Other,medium
184,There is a problem with Email on the printer. Error: AUTH-007.,Network Problem,medium
185,Email keeps crashing on my desktop. Code 0xC004F012.,Other,high
186,Teams keeps crashing on my router. Code 0xC004F012.,Hardware Issue,high
187,"I am unable to access CRM Portal on my server, it shows error AUTH-007.",Account/Access Issue,medium
188,CRM Portal keeps crashing on my mobile. Code AUTH-007.,Hardware Issue,medium
189,Active Directory fails to load on my laptop showing TIMEOUT-22.,Security,critical
190,"I am unable to access Active Directory on my desktop, it shows error 0x80070005.",Other,high
191,I can't log into Salesforce from my printer. It returns NET-503.,Hardware Issue,critical
192,Email fails to load on my desktop showing TIMEOUT-22.,Software Bug,critical
193,"I am unable to access Teams on my printer, it shows error ERR-9999.",Network Problem,critical
194,"I am unable to access CRM Portal on my router, it shows error FAIL-101.",Hardware Issue,high
195,"I am unable to access WiFi on my printer, it shows error 0x80070005.",Security,high
196,WiFi keeps crashing on my server. Code ERR-9999.,Software Bug,medium
197,Zoom keeps crashing on my mobile. Code 0x80070005.,Service Request,high
198,There is a problem with WiFi on the desktop. Error: 0x80070005.,Hardware Issue,high
199,I can't log into Outlook from my tablet. It returns AUTH-007.,Software Bug,medium
200,I can't log into Database from my mobile. It returns TIMEOUT-22.,Hardware Issue,critical
201,Email keeps crashing on my printer. Code ERR-9999.,Service Request,critical
202,My printer stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012.,Service Request,high
203,My laptop stopped working when I tried to use VPN. Error displayed: AUTH-007.,Security,medium
204,Outlook keeps crashing on my tablet. Code ERR-9999.,Account/Access Issue,high
205,I can't log into CRM Portal from my printer. It returns 0xC004F012.,Network Problem,high
206,My tablet stopped working when I tried to use Outlook. Error displayed: ERR42.,Hardware Issue,low
207,Active Directory keeps crashing on my router. Code FAIL-101.,Hardware Issue,high
208,CRM Portal keeps crashing on my server. Code 0xC004F012.,Service Request,high
209,Database fails to load on my printer showing NET-503.,Software Bug,critical
210,VPN keeps crashing on my desktop. Code 0x80070005.,Software Bug,high
211,Database fails to load on my desktop showing ERR42.,Account/Access Issue,high
212,"I am unable to access Email on my desktop, it shows error 0xC004F012.",Service Request,high
213,"I am unable to access Active Directory on my mobile, it shows error AUTH-007.",Account/Access Issue,medium
214,My desktop stopped working when I tried to use CRM Portal. Error displayed: TIMEOUT-22.,Service Request,critical
215,CRM Portal keeps crashing on my laptop. Code FAIL-101.,Security,high
216,"I am unable to access CRM Portal on my router, it shows error NET-503.",Network Problem,critical
217,WiFi fails to load on my server showing NET-503.,Account/Access Issue,critical
218,Email fails to load on my desktop showing 0x80070005.,Hardware Issue,high
219,There is a problem with Email on the server. Error: TIMEOUT-22.,Account/Access Issue,critical
220,"I am unable to access WiFi on my router, it shows error NET-503.",Software Bug,critical
221,"I am unable to access Database on my server, it shows error AUTH-007.",Network Problem,medium
222,"I am unable to access Teams on my laptop, it shows error AUTH-007.",Account/Access Issue,medium
223,My router stopped working when I tried to use Database. Error displayed: 0xC004F012.,Network Problem,high
224,I can't log into VPN from my server. It returns 0x80070005.,Network Problem,high
225,Zoom fails to load on my tablet showing TIMEOUT-22.,Service Request,critical
226,"I am unable to access Active Directory on my mobile, it shows error FAIL-101.",Hardware Issue,high
227,My desktop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Software Bug,high
228,Salesforce fails to load on my printer showing NET-503.,Hardware Issue,critical
229,VPN fails to load on my router showing 0x80070005.,Service Request,high
230,My tablet stopped working when I tried to use Active Directory. Error displayed: FAIL-101.,Service Request,high
231,I can't log into CRM Portal from my server. It returns TIMEOUT-22.,Software Bug,critical
232,There is a problem with VPN on the mobile. Error: 0x80070005.,Other,high
233,My router stopped working when I tried to use WiFi. Error displayed: NET-503.,Hardware Issue,critical
234,There is a problem with Teams on the router. Error: ERR-9999.,Hardware Issue,medium
235,My desktop stopped working when I tried to use Email. Error displayed: FAIL-101.,Other,high
236,WiFi fails to load on my router showing 0x80070005.,Account/Access Issue,high
237,I can't log into Active Directory from my server. It returns 0xC004F012.,Software Bug,high
238,There is a problem with Outlook on the desktop. Error: 0x80070005.,Security,high
239,"I am unable to access Zoom on my printer, it shows error ERR-9999.",Hardware Issue,medium
240,I can't log into VPN from my server. It returns 0x80070005.,Software Bug,high
241,There is a problem with Outlook on the laptop. Error: 0x80070005.,Account/Access Issue,high
242,"I am unable to access Email on my tablet, it shows error ERR-9999.",Security,low
243,My desktop stopped working when I tried to use Teams. Error displayed: ERR-9999.,Network Problem,critical
244,"I am unable to access Database on my router, it shows error ERR42.",Security,critical
245,Database fails to load on my router showing AUTH-007.,Service Request,medium
246,There is a problem with WiFi on the tablet. Error: AUTH-007.,Software Bug,medium
247,My router stopped working when I tried to use Zoom. Error displayed: AUTH-007.,Account/Access Issue,medium
248,My printer stopped working when I tried to use Database. Error displayed: AUTH-007.,Account/Access Issue,medium
249,"I am unable to access Active Directory on my laptop, it shows error ERR-9999.",Security,high
250,There is a problem with Database on the tablet. Error: TIMEOUT-22.,Network Problem,critical
251,Active Directory fails to load on my mobile showing NET-503.,Other,critical
252,"I am unable to access WiFi on my printer, it shows error 0xC004F012.",Service Request,high
253,My server stopped working when I tried to use VPN. Error displayed: 0x80070005.,Other,high
254,There is a problem with VPN on the laptop. Error: 0x80070005.,Software Bug,high
255,"I am unable to access Active Directory on my laptop, it shows error 0xC004F012.",Account/Access Issue,high
256,CRM Portal fails to load on my printer showing 0x80070005.,Security,high
257,I can't log into Outlook from my tablet. It returns ERR42.,Other,critical
258,I can't log into VPN from my desktop. It returns NET-503.,Account/Access Issue,critical
259,There is a problem with Active Directory on the printer. Error: 0xC004F012.,Hardware Issue,high
260,My laptop stopped working when I tried to use Active Directory. Error displayed: AUTH-007.,Hardware Issue,medium
261,My laptop stopped working when I tried to use Active Directory. Error displayed: ERR42.,Network Problem,critical
262,CRM Portal keeps crashing on my laptop. Code ERR-9999.,Hardware Issue,high
263,Database keeps crashing on my mobile. Code 0xC004F012.,Software Bug,high
264,I can't log into CRM Portal from my desktop. It returns ERR42.,Network Problem,high
265,VPN keeps crashing on my desktop. Code FAIL-101.,Other,high
266,Email keeps crashing on my printer. Code ERR-9999.,Network Problem,high
267,Teams fails to load on my tablet showing FAIL-101.,Software Bug,high
268,My desktop stopped working when I tried to use Salesforce. Error displayed: TIMEOUT-22.,Service Request,critical
269,CRM Portal fails to load on my tablet showing AUTH-007.,Software Bug,medium
270,My desktop stopped working when I tried to use Database. Error displayed: 0xC004F012.,Network Problem,high
271,Outlook fails to load on my router showing 0xC004F012.,Hardware Issue,high
272,"I am unable to access VPN on my server, it shows error 0x80070005.",Account/Access Issue,high
273,"I am unable to access Database on my laptop, it shows error AUTH-007.",Software Bug,medium
274,My printer stopped working when I tried to use Teams. Error displayed: ERR42.,Other,medium
275,I can't log into Email from my laptop. It returns 0xC004F012.,Software Bug,high
276,Zoom fails to load on my printer showing ERR-9999.,Security,critical
277,I can't log into CRM Portal from my printer. It returns TIMEOUT-22.,Network Problem,critical
278,Outlook fails to load on my desktop showing FAIL-101.,Account/Access Issue,high
279,WiFi fails to load on my router showing TIMEOUT-22.,Security,critical
280,My tablet stopped working when I tried to use Database. Error displayed: AUTH-007.,Hardware Issue,medium
281,"I am unable to access Zoom on my server, it shows error ERR-9999.",Account/Access Issue,low
282,Outlook keeps crashing on my server. Code FAIL-101.,Software Bug,high
283,Salesforce keeps crashing on my server. Code ERR42.,Other,high
284,My server stopped working when I tried to use WiFi. Error displayed: TIMEOUT-22.,Service Request,critical
285,My mobile stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Service Request,critical
286,There is a problem with Active Directory on the server. Error: FAIL-101.,Service Request,high
287,"I am unable to access Active Directory on my laptop, it shows error AUTH-007.",Other,medium
288,"I am unable to access Database on my printer, it shows error NET-503.",Security,critical
289,There is a problem with VPN on the desktop. Error: 0xC004F012.,Other,high
290,Salesforce fails to load on my desktop showing AUTH-007.,Other,medium
291,Outlook keeps crashing on my mobile. Code AUTH-007.,Software Bug,medium
292,I can't log into Email from my printer. It returns TIMEOUT-22.,Software Bug,critical
293,WiFi keeps crashing on my printer. Code AUTH-007.,Service Request,medium
294,I can't log into Teams from my laptop. It returns AUTH-007.,Hardware Issue,medium
295,My server stopped working when I tried to use CRM Portal. Error displayed: ERR-9999.,Other,high
296,"I am unable to access Active Directory on my printer, it shows error AUTH-007.",Service Request,medium
297,VPN keeps crashing on my tablet. Code NET-503.,Account/Access Issue,critical
298,Outlook keeps crashing on my mobile. Code ERR42.,Network Problem,high
299,There is a problem with Active Directory on the server. Error: 0x80070005.,Software Bug,high
300,Database keeps crashing on my laptop. Code NET-503.,Hardware Issue,critical
301,Outlook keeps crashing on my router. Code FAIL-101.,Service Request,high
302,VPN keeps crashing on my mobile. Code ERR-9999.,Service Request,medium
303,Salesforce keeps crashing on my router. Code NET-503.,Security,critical
304,I can't log into Teams from my server. It returns ERR-9999.,Service Request,critical
305,There is a problem with CRM Portal on the tablet. Error: 0x80070005.,Other,high
306,My tablet stopped working when I tried to use Outlook. Error displayed: NET-503.,Account/Access Issue,critical
307,"I am unable to access WiFi on my tablet, it shows error FAIL-101.",Hardware Issue,high
308,My tablet stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Network Problem,high
309,I can't log into Database from my mobile. It returns TIMEOUT-22.,Security,critical
310,My laptop stopped working when I tried to use Email. Error displayed: 0x80070005.,Account/Access Issue,high
311,My router stopped working when I tried to use Teams. Error displayed: ERR42.,Hardware Issue,low
312,I can't log into WiFi from my desktop. It returns TIMEOUT-22.,Software Bug,critical
313,VPN keeps crashing on my mobile. Code FAIL-101.,Network Problem,high
314,"I am unable to access Email on my mobile, it shows error TIMEOUT-22.",Security,critical
315,VPN keeps crashing on my laptop. Code AUTH-007.,Account/Access Issue,medium
316,My tablet stopped working when I tried to use Active Directory. Error displayed: NET-503.,Account/Access Issue,critical
317,Teams keeps crashing on my server. Code NET-503.,Security,critical
318,Database keeps crashing on my printer. Code AUTH-007.,Security,medium
319,There is a problem with Email on the server. Error: 0x80070005.,Service Request,high
320,Database fails to load on my mobile showing ERR-9999.,Service Request,high
321,Email fails to load on my server showing NET-503.,Network Problem,critical
322,I can't log into Active Directory from my laptop. It returns 0x80070005.,Software Bug,high
323,CRM Portal keeps crashing on my laptop. Code ERR-9999.,Account/Access Issue,medium
324,My router stopped working when I tried to use Database. Error displayed: 0xC004F012.,Security,high
325,There is a problem with CRM Portal on the tablet. Error: FAIL-101.,Account/Access Issue,high
326,There is a problem with Zoom on the printer. Error: ERR42.,Hardware Issue,low
327,WiFi fails to load on my tablet showing 0xC004F012.,Service Request,high
328,I can't log into Zoom from my router. It returns 0x80070005.,Service Request,high
329,VPN fails to load on my mobile showing AUTH-007.,Security,medium
330,I can't log into Zoom from my tablet. It returns NET-503.,Software Bug,critical
331,I can't log into Database from my server. It returns ERR-9999.,Security,high
332,There is a problem with Database on the server. Error: ERR42.,Network Problem,medium
333,My laptop stopped working when I tried to use Teams. Error displayed: FAIL-101.,Other,high
334,"I am unable to access VPN on my mobile, it shows error FAIL-101.",Service Request,high
335,There is a problem with VPN on the server. Error: 0x80070005.,Network Problem,high
336,Database keeps crashing on my router. Code FAIL-101.,Hardware Issue,high
337,Email fails to load on my printer showing 0xC004F012.,Security,high
338,My tablet stopped working when I tried to use WiFi. Error displayed: TIMEOUT-22.,Service Request,critical
339,I can't log into Email from my laptop. It returns ERR-9999.,Account/Access Issue,low
340,Database fails to load on my router showing FAIL-101.,Network Problem,high
341,Salesforce fails to load on my server showing NET-503.,Account/Access Issue,critical
342,There is a problem with Email on the laptop. Error: 0x80070005.,Account/Access Issue,high
343,Teams fails to load on my router showing 0xC004F012.,Service Request,high
344,"I am unable to access Salesforce on my laptop, it shows error TIMEOUT-22.",Security,critical
345,I can't log into Zoom from my router. It returns AUTH-007.,Account/Access Issue,medium
346,Active Directory fails to load on my desktop showing FAIL-101.,Software Bug,high
347,CRM Portal keeps crashing on my printer. Code ERR42.,Account/Access Issue,high
348,CRM Portal keeps crashing on my laptop. Code ERR-9999.,Other,high
349,I can't log into VPN from my printer. It returns ERR42.,Security,low
350,Outlook keeps crashing on my mobile. Code ERR-9999.,Service Request,medium
351,WiFi fails to load on my laptop showing ERR42.,Service Request,low
352,There is a problem with Salesforce on the tablet. Error: TIMEOUT-22.,Software Bug,critical
353,There is a problem with VPN on the server. Error: ERR42.,Security,medium
354,My printer stopped working when I tried to use Active Directory. Error displayed: ERR-9999.,Other,critical
355,There is a problem with Outlook on the server. Error: ERR-9999.,Account/Access Issue,critical
356,I can't log into Teams from my router. It returns TIMEOUT-22.,Other,critical
357,There is a problem with CRM Portal on the desktop. Error: 0xC004F012.,Service Request,high
358,I can't log into Teams from my printer. It returns ERR42.,Account/Access Issue,low
359,There is a problem with Zoom on the tablet. Error: NET-503.,Account/Access Issue,critical
360,My printer stopped working when I tried to use Outlook. Error displayed: 0x80070005.,Other,high
361,"I am unable to access Email on my desktop, it shows error 0x80070005.",Service Request,high
362,CRM Portal keeps crashing on my printer. Code FAIL-101.,Software Bug,high
363,I can't log into Outlook from my router. It returns NET-503.,Hardware Issue,critical
364,"I am unable to access Zoom on my mobile, it shows error FAIL-101.",Security,high
365,My server stopped working when I tried to use CRM Portal. Error displayed: NET-503.,Network Problem,critical
366,Email keeps crashing on my laptop. Code ERR-9999.,Account/Access Issue,low
367,My mobile stopped working when I tried to use Zoom. Error displayed: ERR42.,Hardware Issue,medium
368,There is a problem with CRM Portal on the mobile. Error: TIMEOUT-22.,Security,critical
369,My router stopped working when I tried to use Database. Error displayed: TIMEOUT-22.,Account/Access Issue,critical
370,I can't log into Salesforce from my laptop. It returns ERR-9999.,Software Bug,low
371,There is a problem with Email on the laptop. Error: 0x80070005.,Service Request,high
372,Salesforce fails to load on my printer showing NET-503.,Hardware Issue,critical
373,VPN fails to load on my server showing 0x80070005.,Service Request,high
374,My printer stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Hardware Issue,high
375,My mobile stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Service Request,high
376,There is a problem with Teams on the printer. Error: 0x80070005.,Other,high
377,There is a problem with Salesforce on the desktop. Error: TIMEOUT-22.,Hardware Issue,critical
